ID transfer: 1 Date 2023.07.21 time 04:18:57 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 04:20:09 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 04:21:51 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 04:57:16 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 04:59:11 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 2 Date 2023.07.21 time 04:59:53 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1000,  commission of transfer:100, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:00:10 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:6000,  commission of transfer:600, operation result: false
ID transfer: 2 Date 2023.07.21 time 05:00:19 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:5000,  commission of transfer:500, operation result: false
ID transfer: 3 Date 2023.07.21 time 05:00:27 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:4000,  commission of transfer:400, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:01:14 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:5000,  commission of transfer:500, operation result: true
ID transfer: 2 Date 2023.07.21 time 05:01:20 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:65000,  commission of transfer:6500, operation result: false
ID transfer: 3 Date 2023.07.21 time 05:03:09 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110005, amount of transfer:1000,  commission of transfer:100, operation result: false
ID transfer: 4 Date 2023.07.21 time 05:03:18 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110003, amount of transfer:1000,  commission of transfer:100, operation result: false
ID transfer: 5 Date 2023.07.21 time 05:03:28 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1000,  commission of transfer:100, operation result: false
ID transfer: 6 Date 2023.07.21 time 05:03:38 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 05:03:49 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 2 Date 2023.07.21 time 05:03:53 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110003, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 3 Date 2023.07.21 time 05:03:56 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110004, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 4 Date 2023.07.21 time 05:04:00 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 5 Date 2023.07.21 time 05:06:06 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 6 Date 2023.07.21 time 05:06:09 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 7 Date 2023.07.21 time 05:06:13 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 8 Date 2023.07.21 time 05:06:17 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 9 Date 2023.07.21 time 05:06:23 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 10 Date 2023.07.21 time 05:06:29 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 11 Date 2023.07.21 time 05:06:34 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:08:33 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:09:45 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 2 Date 2023.07.21 time 05:11:09 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:11:18 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 2 Date 2023.07.21 time 05:11:25 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 3 Date 2023.07.21 time 05:11:30 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 4 Date 2023.07.21 time 05:11:34 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 5 Date 2023.07.21 time 05:11:41 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 1 Date 2023.07.21 time 05:33:18 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
